Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
224,환경부(한국자동차환경협회),롯데아울렛 이천점1,5,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
225,환경부(한국자동차환경협회),롯데아울렛 이천점1,6,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
226,환경부(한국자동차환경협회),롯데아울렛 이천점1,7,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
227,환경부(한국자동차환경협회),롯데아울렛 이천점1,8,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
230,환경부(한국자동차환경협회),마장복합휴게소,1,DC차데모+AC3상+DC콤보,경기도,이천시,경기도 이천시 마장면 중부고속도로82,제한없음,장면 중부고속도로82,37.2627454533579,127.408483040538
233,환경부(한국자동차환경협회),만안구청,1,DC차데모+AC3상+DC콤보,경기도,안양시,경기도 안양시 만안구 안양동 530 구청 건물입구 앞,제한없음,안구 안양동 530 구청 건물입구 앞,37.3865528353917,126.932469130622
236,환경부(한국자동차환경협회),매송휴게소(목포방향),1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
237,환경부(한국자동차환경협회),매송휴게소(목포방향),21,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
238,환경부(한국자동차환경협회),매송휴게소(목포방향),22,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
239,환경부(한국자동차환경협회),매송휴게소(목포방향),23,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
240,환경부(한국자동차환경협회),매송휴게소(목포방향),24,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
241,환경부(한국자동차환경협회),매송휴게소(목포방향),25,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
242,환경부(한국자동차환경협회),매송휴게소(목포방향),26,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
