Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
6035,에버온,김포 반도유보라2차아파트,8,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6036,에버온,김포 반도유보라2차아파트,9,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6037,에버온,김포 반도유보라2차아파트,10,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6038,에버온,김포 전원마을월드3단지,1,AC완속,경기도,김포시,"경기도 김포시 전원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥",제한없음,"원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥"
6039,에버온,김포 전원마을월드3단지,2,AC완속,경기도,김포시,"경기도 김포시 전원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥",제한없음,"원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥"
6040,에버온,김포 전원마을월드3단지,3,AC완속,경기도,김포시,"경기도 김포시 전원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥",제한없음,"원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥"
6041,에버온,김포 전원마을월드3단지,4,AC완속,경기도,김포시,"경기도 김포시 전원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥",제한없음,"원로38번길 86 (운양동, 전원마을월드3단지아파트)304동 지하2층 B7,B8기둥"
6042,에버온,김포 초당마을 래미안한강 603동,1,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6043,에버온,김포 초당마을 래미안한강 603동,2,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6044,에버온,김포 초당마을 래미안한강 603동,3,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6045,에버온,김포 초당마을 래미안한강 603동,4,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6046,에버온,김포 초당마을 래미안한강 606동,1,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6047,에버온,김포 초당마을 래미안한강 606동,2,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6048,에버온,김포 초당마을 래미안한강 606동,3,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6049,에버온,김포 초당마을 래미안한강 606동,4,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6050,에버온,김포 초당마을 래미안한강 606동,5,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6051,에버온,김포 초당마을 래미안한강 606동,6,AC완속,경기도,김포시,"경기도 김포시 김포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층",제한없음,"포한강2로 69 (장기동, 초당마을 래미안 한강)지하2층"
6052,에버온,김포 한강신도시운양푸르지오 아파트,1,AC완속,경기도,김포시,"경기도 김포시 모담공원로 17 (운양동, 한강신도시운양푸르지오)김포 한강신도시운양푸르지오 아파트",제한없음,"담공원로 17 (운양동, 한강신도시운양푸르지오)김포 한강신도시운양푸르지오 아파트"
