,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
1412,한국전기차충전서비스,경기도 검도회관,1,DC차데모+AC3상+DC콤보,경기도,시흥시,경기도 시흥시 봉화로 23,제한없음,화로 23
1413,한국전기차충전서비스,경기도 검도회관,2,AC완속,경기도,시흥시,경기도 시흥시 봉화로 23,제한없음,화로 23
1414,한국전기차충전서비스,경기도 종합사격장,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 양감면 사격장길 142,제한없음,감면 사격장길 142
1415,한국전기차충전서비스,경기도 종합사격장,2,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 양감면 사격장길 142,제한없음,감면 사격장길 142
1416,한국전기차충전서비스,경기도 종합사격장,3,AC완속,경기도,화성시,경기도 화성시 양감면 사격장길 142,제한없음,감면 사격장길 142
1417,한국전기차충전서비스,경기도 종합사격장,4,AC완속,경기도,화성시,경기도 화성시 양감면 사격장길 142,제한없음,감면 사격장길 142
1418,한국전기차충전서비스,경기도 체육회관,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 장안구 장안로 134,제한없음,안구 장안로 134
1419,한국전기차충전서비스,경기도 체육회관,2,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 장안구 장안로 134,제한없음,안구 장안로 134
1420,한국전기차충전서비스,경기도 체육회관,3,AC완속,경기도,수원시,경기도 수원시 장안구 장안로 134,제한없음,안구 장안로 134
1421,한국전기차충전서비스,경기도 체육회관,4,AC완속,경기도,수원시,경기도 수원시 장안구 장안로 134,제한없음,안구 장안로 134
1422,한국전기차충전서비스,경기도경제과학진흥원,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 영통구 광교로 107민원인주차장,제한없음,통구 광교로 107민원인주차장
1423,한국전기차충전서비스,경기도경제과학진흥원,2,AC완속,경기도,수원시,경기도 수원시 영통구 광교로 107민원인주차장,제한없음,통구 광교로 107민원인주차장
1424,한국전기차충전서비스,경기도경제과학진흥원,3,AC완속,경기도,수원시,경기도 수원시 영통구 광교로 107민원인주차장,제한없음,통구 광교로 107민원인주차장
1425,한국전기차충전서비스,경기도경제과학진흥원 본원,1,DC차데모+DC콤보,경기도,수원시,경기도 수원시 영통구 광교로 107(906-5 경기도중소기업지원센터),제한없음,통구 광교로 107(906-5 경기도중소기업지원센터)
