운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한
휴맥스이브이,이천라온프라이빗,15,AC완속,경기도,이천시,경기도 이천시 증신로325번길 39(이천 라온프라이빗),제한없음
휴맥스이브이,이천증포대우3차아파트,1,AC완속,경기도,이천시,경기도 이천시 이섭대천로1407번길 35(200-9 증포3차대우아파트),제한없음
휴맥스이브이,이천증포대우3차아파트,2,AC완속,경기도,이천시,경기도 이천시 이섭대천로1407번길 35(200-9 증포3차대우아파트),제한없음
휴맥스이브이,이천증포대원칸타빌,1,AC완속,경기도,이천시,경기도 이천시 아리역로76번길 19(증포 대원칸타빌),제한없음
휴맥스이브이,이천증포대원칸타빌,2,AC완속,경기도,이천시,경기도 이천시 아리역로76번길 19(증포 대원칸타빌),제한없음
휴맥스이브이,이천증포대원칸타빌,3,AC완속,경기도,이천시,경기도 이천시 아리역로76번길 19(증포 대원칸타빌),제한없음
휴맥스이브이,이천증포대원칸타빌,4,AC완속,경기도,이천시,경기도 이천시 아리역로76번길 19(증포 대원칸타빌),제한없음
휴맥스이브이,이천현진에버빌2차아파트,1,AC완속,경기도,이천시,경기도 이천시 경충대로2996번길 16(748 이천2차현진에버빌),제한없음
휴맥스이브이,이천현진에버빌2차아파트,2,AC완속,경기도,이천시,경기도 이천시 경충대로2996번길 16(748 이천2차현진에버빌),제한없음
휴맥스이브이,이천현진에버빌2차아파트,3,AC완속,경기도,이천시,경기도 이천시 경충대로2996번길 16(748 이천2차현진에버빌),제한없음
휴맥스이브이,일성아파트,1,AC완속,경기도,이천시,경기도 이천시 애련정로 41(325 일성아파트),제한없음
휴맥스이브이,일성아파트,2,AC완속,경기도,이천시,경기도 이천시 애련정로 41(325 일성아파트),제한없음
휴맥스이브이,일성아파트,3,AC완속,경기도,이천시,경기도 이천시 애련정로 41(325 일성아파트),제한없음
휴맥스이브이,일성아파트,4,AC완속,경기도,이천시,경기도 이천시 애련정로 41(325 일성아파트),제한없음
휴맥스이브이,죽전역월드메르디앙,1,AC완속,경기도,용인시,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),제한없음
휴맥스이브이,죽전역월드메르디앙,2,AC완속,경기도,용인시,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),제한없음
